Date,BRL,TRY,HUF,CHF,CAD,AUD,EUR,NOK,CZK,PLN,GBP,KRW,TWD,JPY,MXN,SEK,ZAR,NZD,SGD
2004-10-07,0.3468007629616785,0.6544853846868746,0.004954051175348641,0.7918251966695833,0.7929679601295709,0.72553,1.2282229999999998,0.14835474586832034,0.03920185032733545,0.28295346830213775,1.777975,0.0008676789587852494,0.02967799376762131,0.00900633145101006,0.0883197173769044,0.13579576317218903,0.15061375103546953,0.673517,0.5918683211359137
2004-10-08,0.34891835310537334,0.6575270407995528,0.005006508460999299,0.800313722979408,0.7985338917747017,0.73272,1.2404169999999999,0.14957744372148682,0.039479658106160796,0.2848475353567003,1.790265,0.0008691495371778715,0.02977963073257892,0.009145348858477556,0.0883119176932927,0.13676803457495915,0.15236586090520557,0.682605,0.5952823870823722
2004-10-11,0.35056967572305,0.6588700378850271,0.005009016229212583,0.8001568307388247,0.796473216596909,0.73075,1.238019,0.15047776690993905,0.03944073044232779,0.28541663693576697,1.793225,0.0008708146471023643,0.029886431560071727,0.009165045981035687,0.08854807717850406,0.13680919905054417,0.15183607777043903,0.6795100000000001,0.5952292376601538
2004-10-12,0.35014005602240894,0.6574405838072385,0.00494939246207528,0.7967619593970106,0.7956114074763605,0.72764,1.231835,0.1502200724060749,0.03918556717189924,0.2850505252055927,1.7870050000000002,0.0008706251088281386,0.02971326697370376,0.009141076983408032,0.08836029795092469,0.13592035067450473,0.15113845037746826,0.67511,0.5939564926869106
2004-10-13,0.3480076561684357,0.6616741149116201,0.004985666209647264,0.7997089059582312,0.795541783843342,0.723367,1.234343,0.15059787355802537,0.03928578443890078,0.2861885410108179,1.789315,0.000869187309865276,0.029686804215526198,0.009121282963176469,0.088261253309797,0.13636518596802236,0.15179113539769276,0.6737,0.5940140020980574
2004-10-14,0.3444712366517396,0.6601575135827409,0.004958718667096422,0.8044178629030637,0.7951748788352279,0.726345,1.237854,0.15119443604475355,0.03934142455298306,0.28719126938541073,1.7926199999999999,0.0008722197993894462,0.02971326697370376,0.00913292886635694,0.08720296490080663,0.13617763010070336,0.15265427622791283,0.677605,0.5941904808308208
2004-10-15,0.3457814661134163,0.6609992590198306,0.005036134263339461,0.8106092539152426,0.7972606125353286,0.727055,1.2463579999999999,0.15190642564180468,0.039627972593294154,0.28872944607255774,1.799905,0.0008714596949891067,0.029801817910892564,0.009158784006565017,0.0869943453675511,0.13690284689470117,0.15479636538134084,0.68361,0.5960008344011681
2004-10-18,0.3453038674033149,0.6660685371203326,0.005009016229212582,0.812737217675409,0.795209657026075,0.723023,1.249369,0.1519733742648288,0.03977843412194079,0.288963056073281,1.793995,0.0008743933895859747,0.029726516052318668,0.009167902805561616,0.08677542519958348,0.13762257010149664,0.1562927362950807,0.6819799999999999,0.5961536168639936
2004-10-19,0.34299434059338024,0.6638215275993758,0.00503486645016741,0.8141863835469215,0.7936413455395371,0.724692,1.251575,0.1516530178950561,0.039838256677887776,0.29071880223853475,1.800029,0.0008752352194652313,0.02977519726068185,0.009247768051180848,0.08695425336730346,0.13785592677093172,0.15803530508715646,0.68197,0.5977464957111689
2004-10-20,0.34423407917383825,0.6611941828135797,0.005061881501354053,0.8192591439561204,0.8020017964840241,0.732512,1.2584899999999999,0.1528164063693878,0.03988672171034262,0.2914602156805596,1.811908,0.0008745463290917836,0.02978850163836759,0.00924865755735555,0.08662508662508661,0.138918795018372,0.15759075257463892,0.68773,0.5981111649411159
2004-10-21,0.3461405330564209,0.6640507494144733,0.005082204660381673,0.8223954735353137,0.8040556567325592,0.734695,1.261597,0.15326140264835703,0.04002241255102857,0.29390586195241664,1.8229549999999999,0.00087527352297593,0.02981514609421586,0.009320863261071788,0.08687267072651614,0.1388493553918676,0.15927117510272992,0.689565,0.5978769389896478
2004-10-22,0.3445899379738111,0.6640688294060303,0.0050961905975283476,0.8273967615690753,0.8096674291034958,0.73717,1.2685119999999999,0.15453084435653358,0.04021879021879022,0.29400091140282536,1.822105,0.0008769237514798089,0.029850746268656716,0.009343070058076523,0.08645657718410928,0.1394282049315756,0.16221257958554686,0.69307,0.6004238992728866
2004-10-25,0.34305317324185247,0.6654936232401022,0.005127153404429861,0.8367605651480857,0.818464560484531,0.745092,1.280516,0.1556250680859673,0.04043965998333886,0.29133709158181476,1.8375750000000002,0.0008807468733485996,0.029890898221491557,0.00939343755665417,0.08618237915075884,0.1411861044635987,0.160074274463351,0.697735,0.6016521367675637
2004-10-26,0.34548281223009153,0.6635523940970379,0.0051128665286192705,0.8327226700419692,0.8155376227893832,0.743492,1.275328,0.1557680924639397,0.040260890570899426,0.29258587395400554,1.8294890000000001,0.0008823555363398129,0.02990877822640945,0.009376007920851491,0.08643042350907519,0.14129981701673697,0.15909380170548557,0.6941350000000001,0.6016213695910478
2004-10-27,0.3462004500605851,0.6640547181087721,0.0051133894101705315,0.8294865892755678,0.8154711180516764,0.742645,1.270767,0.15550890288469016,0.04024387790007445,0.29264581077521873,1.823525,0.0008858572883908403,0.0299895036737142,0.009414050658889405,0.08624778990038381,0.14077270135775272,0.1614074731660076,0.6834250000000001,0.601327611099786
2004-10-28,0.3457216940363008,0.667763133732255,0.0051353155651414776,0.8341292316418583,0.8178988995170308,0.7441369999999999,1.274468,0.15621338748730768,0.04038201385103075,0.2920347521355041,1.82572,0.0008875477056891807,0.030115946393615423,0.00942660773151513,0.08630361612151549,0.14092545747926633,0.16329063283284753,0.679985,0.6015924151228301
2004-10-29,0.3459848458637511,0.6688797668552685,0.00517410875976613,0.8379139294811636,0.8205498504547899,0.7466400000000001,1.278373,0.1569686219724677,0.040591005033284625,0.2942950896864286,1.8338050000000001,0.0008919810900008921,0.030143180105501134,0.00946851340552128,0.08621730208818305,0.14138971955349128,0.16274849661076257,0.681685,0.6017933441656135
2004-11-01,0.3458412588621823,0.6673286566941072,0.005150922015040692,0.8327573428378706,0.817020164057649,0.744548,1.2750849999999998,0.15632572027075617,0.04043916937946094,0.29451177310813004,1.829752,0.0008911861687906605,0.030093289196509183,0.009410967541572949,0.08631032012497734,0.1409046075806679,0.16318271568675446,0.680895,0.6000960153624579
2004-11-02,0.3467406380027739,0.6694255926759486,0.005142710208279763,0.8310928455372392,0.8160767112108538,0.745285,1.272603,0.15554518587649713,0.04044325810887325,0.2950244132701981,1.835278,0.0008972633467922835,0.030125018828136767,0.009437060468908659,0.08686587908269632,0.14037353397390456,0.1630510105086376,0.683335,0.600463557866673
2004-11-03,0.3497114880223815,0.6720430107526881,0.005180944486179831,0.8385884878572387,0.8268050187064635,0.7537550000000001,1.2818779999999999,0.15711165925623338,0.04076399886676083,0.2966786821532939,1.8440750000000001,0.000896700143472023,0.030216044719746187,0.009425585941550057,0.0869187309865276,0.14139371787711472,0.1637800434017115,0.68783,0.6007990627534621
2004-11-04,0.35106196243637,0.6719933338261285,0.005202101649066223,0.8431809845824356,0.827941365192517,0.75545,1.286832,0.15746791591213288,0.040876891067172995,0.29888664723903463,1.840065,0.0008983515249517135,0.03029843963035904,0.009447491785405892,0.08710042679209128,0.14153780828703866,0.16341604909018112,0.688195,0.6042369092073621
2004-11-05,0.3508156463778284,0.675143316047414,0.005242189138184106,0.8501341086556404,0.8344354835345018,0.76107,1.296757,0.158476093881238,0.041187688176250355,0.3021102400265857,1.851825,0.0009007386056566384,0.030511060259344015,0.009485209238973207,0.08739730816290858,0.14267675866939655,0.16335465111530387,0.692905,0.6050595076025727
2004-11-08,0.3486750348675035,0.6738553556002097,0.005231630437625886,0.8471740391987429,0.8372509701645616,0.755615,1.2919649999999998,0.15689966266572528,0.04112053456694938,0.30121842854345826,1.851825,0.0009017132551848512,0.030646644192460923,0.009494178644364207,0.0870359893816093,0.1420868292613616,0.16069936363052,0.68883,0.6064097510687972
2004-11-09,0.3497114880223815,0.6739502719052372,0.005220569042025581,0.8459199167614802,0.8329342190200529,0.75881,1.2893720000000002,0.15682092618439003,0.040988310133949796,0.3017319413433106,1.852785,0.0009057971014492754,0.030623181748583677,0.009472235457040096,0.08685682520932494,0.1417223517407048,0.1606709619370491,0.6863300000000001,0.6048399291127602
2004-11-10,0.3499562554680665,0.6740533931173756,0.00522466039707419,0.8473068352242398,0.8369706683629272,0.757411,1.2889620000000002,0.15790055423094534,0.040949957104919936,0.3008604609182261,1.8417050000000001,0.0008975854950184006,0.030349013657056143,0.00935025979696846,0.08714217245435929,0.14231330273597326,0.16042223131281533,0.6811349999999999,0.6035778890104763
2004-11-11,0.3506311360448808,0.6739807052803692,0.005238070294903357,0.8501088139281828,0.835788461940283,0.76225,1.2905769999999999,0.15850623722043464,0.040958930480407295,0.30028226532940966,1.8380450000000002,0.0008986340762041696,0.030613806826878923,0.009396359098776405,0.08710422019946867,0.14325723986275957,0.16075361293745077,0.68501,0.604001510003775
2004-11-12,0.35442140705298597,0.6780355141441599,0.005283736658564938,0.8545365207545557,0.8383108037304832,0.76754,1.2976800000000002,0.15992323684631377,0.041171493681205006,0.3023340186237755,1.852625,0.0009076469253460404,0.03059039461609055,0.009488809372666347,0.08758638206931586,0.14476493793203285,0.1628730811515127,0.690895,0.6061616329994393
2004-11-15,0.3539196602371262,0.6739452756436177,0.005274539796402764,0.8493831354978446,0.8324557861920558,0.770915,1.294781,0.1598184462450656,0.041187009617166745,0.3030073479281873,1.842655,0.000911369332421964,0.030721966205837177,0.009515182425077453,0.08744316194473592,0.14462466284375475,0.16470394465947458,0.69744,0.6060238773407672
2004-11-16,0.3546099290780142,0.6745144170711505,0.005261081152176773,0.8512014708761417,0.8357116293451782,0.7704869999999999,1.2956880000000002,0.16001280102408194,0.04128154426000768,0.30322326328875954,1.848515,0.0009151223976206818,0.030773965225419298,0.00950814372510055,0.08748600223964165,0.14466441472394415,0.16449262250588062,0.696805,0.6063545961678389
2004-11-17,0.3581661891117478,0.6778741865509762,0.005296469902809777,0.8616715566527507,0.8363546645590529,0.78013,1.303882,0.16056261139031167,0.04176525005899342,0.3059741451847319,1.856035,0.0009244280101687081,0.030964545595293387,0.00963021885635373,0.08798557036645989,0.1451410408064036,0.1668168017882761,0.7052799999999999,0.6080690766471071
2004-11-18,0.3558718861209965,0.6791388248045948,0.005196829933740418,0.854963920522554,0.8286617527024732,0.776041,1.295616,0.15944131762304883,0.041468653844558896,0.303760709463513,1.8460150000000002,0.0009339248190520663,0.030954960532425323,0.009609360285667062,0.08768853034023148,0.144436660913273,0.1650437365901964,0.703585,0.6050338818973863
2004-11-19,0.354924578527063,0.6838616848710648,0.005230125523012552,0.8616010270284243,0.8376787920671818,0.7814249999999999,1.3020309999999997,0.15974185715883135,0.04187955440154117,0.30664499708687254,1.85334,0.0009347978499649451,0.0311284046692607,0.009717559143494337,0.08733243089821403,0.1452844305939954,0.1661502164106569,0.7064999999999999,0.6078140575235224
2004-11-22,0.3586800573888092,0.6833873323223757,0.00527997043216558,0.8609037767848687,0.8424635318598646,0.780145,1.3043230000000001,0.15997696331728228,0.041960477426312155,0.30869818886772593,1.85592,0.0009392758183440566,0.03101256008683517,0.009705176158652455,0.08750131251968779,0.14541753008325153,0.16579486201722607,0.706535,0.6083280104632418
2004-11-23,0.3599712023038157,0.6857826288516982,0.005309828492539691,0.8642818250175017,0.843757251038876,0.783952,1.308245,0.16050849089916858,0.04215478393565494,0.3099477738001147,1.8632799999999998,0.0009383503800319039,0.03106554830692762,0.00969555943377933,0.08772314575200667,0.14604616519281743,0.16656117792065026,0.709545,0.6090875867949811
2004-11-24,0.35874439461883406,0.6883383100193148,0.005341595000267079,0.8739845392135013,0.8469587827508376,0.785365,1.3177530000000002,0.16160049126549345,0.04245563386261357,0.312343828085957,1.8762050000000001,0.0009374707040404987,0.031230480949406617,0.009744290333079332,0.08816009873931059,0.14744804299584935,0.16771488469601678,0.707825,0.6100629890036146
