Date,BRL,TRY,HUF,CHF,CAD,AUD,EUR,NOK,CZK,PLN,GBP,KRW,TWD,JPY,MXN,SEK,ZAR,NZD,SGD
2000-07-05,,1.6218597422680412,0.9156643459142544,0.6112531875577456,0.6702412302786169,0.58907,0.954915,0.1152021280804226,-0.015774894435833024,0.27296474135931337,1.50879,,,-0.5816489620347859,0.17347238200010479,0.09323033153047139,0.16723393515106855,0.46104500000000004,0.569753993095512
2000-07-06,,1.6210604585679804,0.9161539023677288,0.6104403245155338,0.6722249919202801,0.590585,0.952495,0.11501062657339413,-0.01534754797441365,0.2721173450508788,1.5082600000000002,,,-0.5871959434313361,0.17060251046025104,0.09281479035781035,0.1656664238892935,0.46043999999999996,0.570321866359447
2000-07-07,,1.6129141025641027,0.9986445805087835,0.6097393241167435,0.6747933400919167,0.592078,0.95019,0.11494004632323844,-0.014909205732975245,0.2728743637204998,1.5146300000000001,,,-0.5882304412309974,0.16992483574244416,0.09229982320652846,0.16560887367040653,0.46124,0.5699226948313572
2000-07-10,,1.617865257152041,1.0636717459151828,0.6110820280926564,0.6752861768684477,0.593,0.9571550000000001,0.11570496064465574,-0.01717020819918437,0.2766494631812347,1.5143300000000002,,,-0.6021576980568012,0.17095240359218172,0.09231488794379115,0.16767383657017224,0.46185,0.5690485130859937
2000-07-11,,1.6143788316482106,1.0636600541688017,0.6094333469500584,0.6747790216289287,0.58769,0.9542,0.11527256735045523,-0.01620256183508857,0.27752287259050307,1.5181300000000002,,,-0.5746620599495751,0.17207989758749934,0.0926630688970605,0.16770882352941177,0.459855,0.5675697346985601
2000-07-12,,1.6113471638924455,0.9296214826349907,0.6005952366684826,0.6734512563237774,0.588685,0.94408,0.11423822849481008,-0.015514844929417064,0.27386900197513653,1.5072649999999999,,,-0.5822493061979649,0.1724322033898305,0.0927710595820666,0.16681288433382138,0.46035,0.5675452592040372
2000-07-13,,1.6042515742511152,1.0186037334678728,0.5999283701106342,0.673815452183303,0.5853799999999999,0.938965,0.11406595143467574,-0.01568628792463753,0.27343784065870347,1.50445,,,-0.5812510173880874,0.17323618821041503,0.09206486344195862,0.16622259475218656,0.461245,0.5681743045673628
2000-07-14,,1.6014963711602739,0.9401073734713756,0.6009451550387597,0.672749447439353,0.58399,0.94008,0.11410758632195413,-0.01658759673542696,0.272507002542177,1.501645,,,-0.583227862772369,0.17021913006532477,0.09224491075844087,0.16564056261343013,0.460845,0.5679076411197796
2000-07-17,,1.600650119236884,1.083601008282319,0.5998027441790142,0.673634366354005,0.58811,0.93852,0.11356968245591896,-0.019687672674648073,0.2760532211259431,1.496275,,,-0.5962458819174533,0.17968113612004288,0.09097438889013228,0.16661315979754157,0.459745,0.5664948454493418
2000-07-18,,1.594688522511097,1.0635505059470975,0.5920186485195797,0.6762440984217299,0.581615,0.926015,0.11181333904920918,-0.019563026844767215,0.2736155182397221,1.4982600000000001,,,-0.5952518727457691,0.17853200256876806,0.0894757562988324,0.16553145219266713,0.45705500000000004,0.5672004908643107
2000-07-19,,1.5887298483891346,1.033553281455424,0.5918375193890943,0.6760089129257227,0.576885,0.926095,0.11202612284589986,-0.017098632407791137,0.27209129508007834,1.499055,,,-0.5962672421752377,0.1780108131029365,0.08963055247036009,0.16441780723754928,0.455345,0.567097686139748
2000-07-20,,1.5907877426493835,1.0285830735605002,0.5969571308220002,0.6779038158609451,0.583685,0.934735,0.11351410402646286,-0.017424380704041727,0.273035077564251,1.5121850000000001,,,-0.5932149489322192,0.17676331158412664,0.09068899839895044,0.16585867052023123,0.462925,0.5674837449137486
2000-07-21,,1.5966828419549348,1.0186004896665948,0.5974032445046673,0.6788983239273816,0.5866950000000001,0.93874,0.11405425383302989,-0.01673121782074184,0.27394342641070385,1.5177749999999999,,,-0.5973189496878444,0.17728056593699948,0.0911252636389985,0.1657131597975416,0.46193999999999996,0.5665960658082975
2000-07-24,,1.5922293605571383,0.9935871865695735,0.595527753483902,0.6814854532732609,0.5857100000000001,0.9356,0.11329589206696775,-0.01826154492023509,0.27711777881474564,1.516465,,,-0.6158071336642765,0.17967235585897917,0.09038225579944983,0.1660366678661389,0.461025,0.5674151519059902
2000-07-25,,1.5955213098636218,0.9556032140669478,0.599854322003145,0.6808371713038734,0.585985,0.94016,0.11404216647949947,-0.017655786506493847,0.27508518432375856,1.51705,,,-0.5968332569438078,0.17692328254477413,0.09132448323991157,0.1662297879985627,0.460825,0.567489440878088
2000-07-26,,1.5963728419549348,0.9601231884057972,0.6020479388919231,0.6814822663981981,0.59178,0.945065,0.11466983975318305,-0.015547772722463236,0.2747230684069456,1.51642,,,-0.5968399743519281,0.17529196924391288,0.0919620727054414,0.1666543321299639,0.46223,0.5686522298731853
2000-07-27,,1.592971274742676,1.023577817531306,0.5961687780983291,0.6782005359326179,0.5881649999999999,0.9336399999999999,0.11315737797956867,-0.016315820481265224,0.2731571287588529,1.5148,,,-0.5958391352143643,0.17239470871191875,0.08957714383689415,0.16614414414414413,0.45792499999999997,0.5720441718109964
2000-07-28,,1.5825415512901195,0.9985468539405548,0.5913905308229397,0.675763950930626,0.5883649999999999,0.925142,0.11253153089650039,-0.017005043021653805,0.27214959723820487,1.5037900000000002,,,-0.6003692476260044,0.17475206832132373,0.08866321240134306,0.1659281609195402,0.457615,0.5711347595433053
2000-07-31,,1.5840573047858941,0.9795565672013372,0.5932806811108451,0.6716366800107649,0.580865,0.92815,0.11315759642308734,-0.02133158004919663,0.2761216058831666,1.500335,,,-0.6403609029427894,0.1865663811563169,0.08728932233712963,0.1676797879985627,0.45462,0.5714355772005772
2000-08-01,,1.5803619088766694,1.1135096339451795,0.586686167347422,0.6711339075630252,0.57875,0.915915,0.11176379983272931,-0.02053406730369755,0.2715663767150047,1.492875,,,-0.6188500320248879,0.18848047606311846,0.086750442310177,0.16570014245014245,0.45341000000000004,0.5719576683039584
